account_no,gender,age,income,loan_amount,term,installment_amount,interest_rate,credit_score_at_application,outstanding_balance,status
acc_00000316,F,18,12143,47000,60,1045,0.12,860,0,PAID_UP
acc_00000422,F,18,6021,13000,60,330,0.18,640,0,PAID_UP
acc_00001373,F,39,12832,13000,60,296,0.13,820,0,PAID_UP
acc_00001686,F,33,4867,5000,36,191,0.22,540,0,PAID_UP
acc_00001733,F,23,5107,22000,36,818,0.2,580,11314,LIVE
acc_00002114,M,38,9328,25000,36,904,0.18,630,0,PAID_UP
acc_00002270,F,18,5763,15000,60,381,0.18,630,0,PAID_UP
acc_00002927,M,42,12762,24000,48,668,0.15,730,0,PAID_UP
acc_00003222,M,43,6718,16000,48,522,0.24,520,2923,DEFAULT
acc_00006967,F,38,9662,17000,48,482,0.16,720,0,PAID_UP
acc_00006989,M,29,8035,16000,60,415,0.19,610,0,PAID_UP
acc_00008275,M,25,20474,89000,48,2215,0.09,940,0,PAID_UP
acc_00008549,M,18,5146,13000,60,366,0.23,530,780,DEFAULT
acc_00010176,M,23,19071,59000,60,1254,0.1,920,0,PAID_UP
acc_00011988,M,29,8256,16000,60,406,0.18,620,0,PAID_UP
acc_00013684,M,52,19946,25000,36,830,0.12,850,0,PAID_UP
acc_00013882,M,32,17452,38000,24,1789,0.12,870,0,PAID_UP
acc_00013896,M,53,13114,20000,60,486,0.16,710,0,PAID_UP
acc_00016556,M,44,18569,13000,36,432,0.12,850,0,PAID_UP
acc_00018317,M,18,16713,65000,60,1413,0.11,900,0,PAID_UP
acc_00018538,M,32,9634,25000,60,621,0.17,660,0,PAID_UP
acc_00018963,F,26,9382,26000,60,619,0.15,740,0,PAID_UP
acc_00020638,M,31,13653,38000,48,1038,0.14,790,0,PAID_UP
acc_00022165,M,26,8632,14000,36,506,0.18,640,0,PAID_UP
acc_00024185,M,19,18616,70000,48,1775,0.1,930,0,PAID_UP
acc_00024524,F,34,15678,12000,24,559,0.11,900,0,PAID_UP
